Teste 1
Resultados,Total,Total (%),Questões ENADE,Questões ENADE (%),Questões OAB,Questões OAB (%)
Acertos,25,83.33,13,81.25,12,85.71
Erros,5,16.67,3,18.75,2,14.29
""
Teste 2
Resultados,Total,Total (%),Questões ENADE,Questões ENADE (%),Questões OAB,Questões OAB (%)
Acertos,24,80.00,13,81.25,11,78.57
Erros,6,20.00,3,18.75,3,21.43
""
Teste 3
Resultados,Total,Total (%)
Acertos,19,63.33
Erros,11,36.67
""
